date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
19:23:18	6156/6156	---M--	200	added ('OK')	application/octet-stream	etag:%229989f053a4c4f0d2e3caeb440965fc82%22	https://storage.googleapis.com/theme-vessel-items/checking-sites/oddo-html/HTML/main/assets/fonts/flaticon/font/Flaticon.ttf	C:/Website%20Template/Login%20Template/oddo/storage.googleapis.com/theme-vessel-items/checking-sites/oddo-html/HTML/main/assets/fonts/flaticon/font/Flaticon.ttf	(from https://storage.googleapis.com/theme-vessel-items/checking-sites/oddo-html/HTML/main/assets/fonts/flaticon/font/flaticon.css)
19:23:18	32755/32755	---M--	200	added ('OK')	image/svg+xml	etag:%223b4cdc6b783cc85cea51e691d59c043a%22	https://storage.googleapis.com/theme-vessel-items/checking-sites/oddo-html/HTML/main/assets/fonts/flaticon/font/Flaticon.svg	C:/Website%20Template/Login%20Template/oddo/storage.googleapis.com/theme-vessel-items/checking-sites/oddo-html/HTML/main/assets/fonts/flaticon/font/Flaticon.svg	(from https://storage.googleapis.com/theme-vessel-items/checking-sites/oddo-html/HTML/main/assets/fonts/flaticon/font/flaticon.css)
19:23:19	57601/57601	---M--	200	added ('OK')	image/jpeg	etag:%22c500bee46380ea471eb4d2d98aa67caf%22	https://storage.googleapis.com/theme-vessel-items/checking-sites/oddo-html/HTML/main/assets/img/img-1.jpg	C:/Website%20Template/Login%20Template/oddo/storage.googleapis.com/theme-vessel-items/checking-sites/oddo-html/HTML/main/assets/img/img-1.jpg	(from https://storage.googleapis.com/theme-vessel-items/checking-sites/oddo-html/HTML/main/assets/css/style.css)
19:23:19	22092/22092	---M--	200	added ('OK')	image/png	etag:%22469d01dbe23c50d153f3b5b7d5b67abb%22	https://storage.googleapis.com/theme-vessel-items/checking-sites/oddo-html/HTML/main/assets/img/animated-text.png	C:/Website%20Template/Login%20Template/oddo/storage.googleapis.com/theme-vessel-items/checking-sites/oddo-html/HTML/main/assets/img/animated-text.png	(from https://storage.googleapis.com/theme-vessel-items/checking-sites/oddo-html/HTML/main/assets/css/style.css)
19:23:20	68635/68635	---M--	200	added ('OK')	image/jpeg	etag:%22a3a7b0459358d912f31223691c49bb8f%22	https://storage.googleapis.com/theme-vessel-items/checking-sites/oddo-html/HTML/main/assets/img/img-2.jpg	C:/Website%20Template/Login%20Template/oddo/storage.googleapis.com/theme-vessel-items/checking-sites/oddo-html/HTML/main/assets/img/img-2.jpg	(from https://storage.googleapis.com/theme-vessel-items/checking-sites/oddo-html/HTML/main/assets/css/style.css)
19:23:21	18651/18651	---M--	200	added ('OK')	image/jpeg	etag:%22797c4ea202ebc9b6fe84d2ae37dc501c%22	https://storage.googleapis.com/theme-vessel-items/checking-sites/oddo-html/HTML/main/assets/img/img-5.jpg	C:/Website%20Template/Login%20Template/oddo/storage.googleapis.com/theme-vessel-items/checking-sites/oddo-html/HTML/main/assets/img/img-5.jpg	(from https://storage.googleapis.com/theme-vessel-items/checking-sites/oddo-html/HTML/main/assets/css/style.css)
19:23:21	40787/40787	---M--	200	added ('OK')	image/jpeg	etag:%22a039ad1b17720ecd58d34aab6df465a1%22	https://storage.googleapis.com/theme-vessel-items/checking-sites/oddo-html/HTML/main/assets/img/img-3.jpg	C:/Website%20Template/Login%20Template/oddo/storage.googleapis.com/theme-vessel-items/checking-sites/oddo-html/HTML/main/assets/img/img-3.jpg	(from https://storage.googleapis.com/theme-vessel-items/checking-sites/oddo-html/HTML/main/assets/css/style.css)
19:23:22	176628/176628	---M--	200	added ('OK')	image/jpeg	etag:%22d4ea57cf1aa4fd3e90b991de769deb51%22	https://storage.googleapis.com/theme-vessel-items/checking-sites/oddo-html/HTML/main/assets/img/img-4.jpg	C:/Website%20Template/Login%20Template/oddo/storage.googleapis.com/theme-vessel-items/checking-sites/oddo-html/HTML/main/assets/img/img-4.jpg	(from https://storage.googleapis.com/theme-vessel-items/checking-sites/oddo-html/HTML/main/assets/css/style.css)
19:23:23	43298/43298	---M--	200	added ('OK')	image/jpeg	etag:%22519574b914ef517d50ab75092ab32336%22	https://storage.googleapis.com/theme-vessel-items/checking-sites/oddo-html/HTML/main/assets/img/img-31.jpg	C:/Website%20Template/Login%20Template/oddo/storage.googleapis.com/theme-vessel-items/checking-sites/oddo-html/HTML/main/assets/img/img-31.jpg	(from https://storage.googleapis.com/theme-vessel-items/checking-sites/oddo-html/HTML/main/assets/css/style.css)
19:23:23	33567/33567	---M--	200	added ('OK')	image/png	etag:%22f82d6c785591b9901101af8fac5d27ea%22	https://storage.googleapis.com/theme-vessel-items/checking-sites/oddo-html/HTML/main/assets/img/img-54.png	C:/Website%20Template/Login%20Template/oddo/storage.googleapis.com/theme-vessel-items/checking-sites/oddo-html/HTML/main/assets/img/img-54.png	(from https://storage.googleapis.com/theme-vessel-items/checking-sites/oddo-html/HTML/main/assets/css/style.css)
